"name"	"formals"	"inherited_from_0_4"
"check_pupil_posterior_predictive"	"fit=<MISSING>; ndraws=200L; probability=0.9; window=NULL; max_cells=3000000L"	TRUE
"check_pupil_prior_predictive"	"specification=<MISSING>; execute=FALSE; backend=c(""rstan"", ""cmdstanr""); draws=200L; chains=2L; iter=1000L; warmup=500L; cores=min(2L, chains); seed=2026; probability=0.95; max_cells=3000000L"	TRUE
"collect_model_evidence"	"fit=NULL; design=NULL; diagnostics=NULL; posterior=NULL; ppc=NULL; estimands=NULL; loo=NULL; kfold=NULL; sensitivity=NULL; manifest=NULL; compute=character()"	TRUE
"compare_analysis_manifests"	"x=<MISSING>; y=<MISSING>"	TRUE
"compare_estimand_sensitivity"	"reference=<MISSING>; alternatives=<MISSING>; quantity=reference$primary_quantity"	TRUE
"compare_gp3bayes_schemas"	"x=<MISSING>; y=<MISSING>; compare_lengths=FALSE"	TRUE
"compare_psis_loo"	"models=<MISSING>; moment_match=FALSE; reloo=FALSE; cores=1L"	TRUE
"compare_pupil_autocorrelation"	"...=<MISSING>; max_lag=10L; ndraws=300L"	FALSE
"compare_pupil_lfo"	"...=<MISSING>"	FALSE
"compare_pupil_models"	"model_set=<MISSING>; criterion=c(""loo"", ""kfold""); K=10L; group=NULL; moment_match=FALSE; save_psis=TRUE"	FALSE
"compare_pupil_sensitivity_estimands"	"results=<MISSING>"	TRUE
"compute_kfold_cv"	"fit=<MISSING>; K=10L; folds=c(""random"", ""stratified"", ""grouped""); group=NULL; joint=c(""obs"", ""fold"", ""group""); save_fits=FALSE; seed=1L"	TRUE
"compute_loo_model_weights"	"x=<MISSING>; method=c(""stacking"", ""pseudobma""); cores=1L"	TRUE
"compute_psis_loo"	"fit=<MISSING>; moment_match=FALSE; reloo=FALSE; cores=1L; save_psis=TRUE"	TRUE
"compute_psis_loo_from_log_lik"	"log_lik=<MISSING>; chain_id=NULL; cores=1L; save_psis=TRUE"	TRUE
"create_advanced_pupil_prior_specification"	"specification=<MISSING>"	FALSE
"create_analysis_bundle"	"fit=<MISSING>; newdata=NULL; ndraws=1000L; include_group_effects=FALSE; include_loo=FALSE"	TRUE
"create_analysis_figure_set"	"x=<MISSING>"	TRUE
"create_analysis_manifest"	"specification=NULL; fit=NULL; data=NULL; estimands=character(); sensitivity_plan=NULL; seed=NULL; label=NULL; notes=character()"	TRUE
"create_binary_model_report"	"fit=<MISSING>; diagnostics=NULL; posterior_summary=NULL; posterior_predictive=NULL; prior_sensitivity=NULL; recovery=NULL; file=<MISSING>; overwrite=FALSE"	TRUE
"create_brms_sbc_plan"	"specification=<MISSING>; n_sims=20L; backend=c(""rstan"", ""cmdstanr""); chains=2L; iter=1000L; warmup=500L; thin=1L; seed=1L; generator_iter=3000L; generator_warmup=2000L"	TRUE
"create_complete_evidence_inventory"	"...=<MISSING>; label=NULL"	TRUE
"create_contrast_coding_sensitivity_specification"	"specification=<MISSING>; condition_coding=<MISSING>; baseline=<MISSING>"	TRUE
"create_custom_sbc_plan"	"generator_function=<MISSING>; backend=<MISSING>; n_sims=20L; generator_args=list(); seed=1L"	TRUE
"create_diagnostic_dashboard"	"fit=NULL; analysis_bundle=NULL; model_card=NULL; loo=NULL; prior_posterior=NULL; sensitivity=NULL; recovery=NULL; sbc=NULL; label=NULL"	TRUE
"create_diagnostic_dashboard_figures"	"x=<MISSING>"	TRUE
"create_duration_model_report"	"fit=<MISSING>; diagnostics=NULL; posterior_summary=NULL; posterior_predictive=NULL; prior_sensitivity=NULL; recovery=NULL; file=<MISSING>; overwrite=FALSE"	TRUE
"create_duration_unit_sensitivity_specification"	"specification=<MISSING>; multiplier=<MISSING>; new_unit=<MISSING>"	TRUE
"create_figure_set"	"...=<MISSING>; title=""gp3bayes figure set"""	TRUE
"create_group_deletion_sensitivity_plan"	"specification=<MISSING>; group=c(""participant"", ""item""); units=NULL; max_units=20L"	TRUE
"create_loo_influence_atlas"	"x=<MISSING>; data=NULL; threshold=0.7"	TRUE
"create_model_card"	"fit=<MISSING>; analysis_bundle=NULL; manifest=NULL; label=NULL"	TRUE
